category,source,target
fireteam,OperationS Fireteams,行动科火力组
fireteam,Samarthan Fireteams,支援火力组
fireteam,Asuras Fireteams,阿修罗火力组
fireteam,Bounty Hunters Fireteams,赏金猎人火力组
fireteam,MAX-OP Fireteam,MAX-OP火力组
fireteam,OPTIMATES Fireteam,至善火力组
fireteam,Wildcards,自由人 （可以加入任何火力组，但不能超过火力组人数限制）
fireteam,Dikpala,方位护法
fireteam,Samarthan,支援
fireteam,Asura,阿修罗
fireteam,Bounty Hunter,赏金猎人
fireteam,Max-Op,MAX-OP
fireteam,Optimate,至善
fireteam,Optimates,至善
fireteam,Yadu Troops,雅度
profile,DIKPALA,方位护法
profile,SHARVARA,奢婆罗
profile,ARTALIS,阿达利
profile,RIKSHA,芮克沙
profile,DAWON,达温
profile,KYRA SHARMA FTO,凯拉·夏尔马FTO
profile,CLAIRE LAZHARI,克莱尔·拉扎里
profile,SATRAH,萨特拉
profile,APSARA,飞天
profile,MOTORIZED BOUNTY HUNTER,摩托赏金猎人
profile,SFORZA,斯福尔扎
profile,MAXIMUS OPTIMATE,至善马克西姆
profile,JOHNNY KAO,强尼·高
profile,Pilot-X Team,驾驶员-X
profile,RUDRA FTO,楼陀罗FTO
profile,ARJUNA FTO,阿周那FTO
profile,MAXIMUS AGENT,干员马克西姆
*,Hoplites,方阵步兵
*,Thyreos,门盾
*,Hoplites Heavy Regiment,方阵步兵重装兵团
*,Makhai,玛科海
*,"Thyreos, Thyreophoroi Mobile Regiment",门盾，持盾机动兵团
*,Agamemnon the Atreides,阿伽门农，阿特柔斯的子嗣
*,"PANDORA, Steel Phalanx's Iatromantis",潘多拉，钢铁方阵先知
*,Hassassin Bokhtar,哈萨辛拯救者
*,"Sunduqbut, Covert Heavy-Support Unit",货箱机器人，重火力隐蔽支援单元
*,"Makhai, Steel Phalanx's Operative Unit",玛科海，钢铁方阵特勤部队
*,Morat Vanguard Infantry,莫拉特先锋步兵
*,"AVICENNA, Mercenary Doctor",阿维西那，佣兵医生
*,Unidron Batroids,尤尼隆战斗机兵
*,Fraacta Drop Unit,弗莱塔空降部队
*,Umbra Legates,暗影特使
*,Maakrep Trackers Unit,马克莱普追踪者部队
*,"Rodok, Morat Armed Imposition Detachment",锐达克，莫拉特武力制裁分队
*,The Charontids,引魂者
*,Raicho Armored Brigade,雷鸟装甲编队
*,Raicho Pilot,雷鸟驾驶员
*,Avatar,化身巨像
*,Staldron Remote Ancillary Unit,希塔德隆，远程辅助单位
*,The Shrouded,隐秘者
*,Malignos,恶魔
*,Speculo Killers,镜像杀手
*,Dāturazi Witch-Soldiers,达图拉齐巫术战士
*,The Hungries-'Gakis',饥饿者-恶鬼
*,The Hungries: 'Gakis',饥饿者-恶鬼
*,The Hungries-'Pretas',饥饿者-幽灵
*,The Hungries: 'Pretas',饥饿者-幽灵
*,Med-Tech Obsidon Medchanoid,黑曜石医疗维修体
*,M-Drones,M型无人机
*,Q-Drones,Q型无人机
*,T-Drones,T型无人机
*,R-Drones,R型无人机
*,Shasvastii Seed-Soldiers,夏斯瓦提育种战士
*,Shasvastii Cadmus,夏斯瓦提龙芽战士
*,Shasvastii Haiduks,夏斯瓦提黑盗客
*,Shasvastii Noctifers,夏斯瓦提黑夜使者
*,Kurgat Reg. of Assault Engineers,库加特突击工程兵团
*,Yaogat Strike Infantry,姚加特突击部队
*,Rasyat Diplomatic Division,拉斯亚特外交分队
*,Skiávoros,暗影吞噬者
*,Sogarat Tempest Regiment,索加拉特风暴军团
*,The Anathematics,憎恶
*,Shasvastii Special Armored Corp Sphinx,斯芬克斯，夏斯瓦提特种装甲部队
*,Scindron Ancillary Remote Unit,希恩德隆，远程辅助单位
*,Zerat Special Missions Regiment,泽拉特特遣队
*,Slave Drones,奴隶工蜂
*,Ímetron,伊米隆信标
